@0 1_0000000000000000000000000000000000000000000000000000000011111111
@1 0_0000000000000000000000000000000000000000000000000110011100100000
@2 0_0000000000000000000000000000000000000000000000000001001110000110
@3 0_0000000000000000000000000000000000000000000000000001000101000110
@4 0_0000000000000000000000000000000000000000000000000000000000000000
@5 0_0000000000000000000000000000000000000000000000000000010110111110
@6 0_0000000000000000000000000000000000000000000000000000001111010011
@7 1_0000000000000000000000000000000000000000000000001000000001000000
@8 0_0000001011111111101001101100011000010000010100111111100110001110
@9 0_0101000111101101101011110101000101001111001110100101101110100000
@a 0_0010110111001110011111111100010100010111100111011001010110000011
@b 0_1111011100100101110111100111111110011000010100111110100011111100
@c 0_0000101011111001101001010101011100011110101111011111011010110110
@d 0_0011110101000011111001111010000101001111001010101001101001100000
@e 0_0000000111010100000110111010110100101100011111100110100001111000
@f 0_0001110101011001101010100001010101101010010001011110101111111000
@10 0_0011000001000001010010010001010011000010001101110001100110010000
@11 0_0001010000001110101001000111100010100110100110100100000011110000
@12 0_0000001001110111101001010100100111100011101001110010010101011011
@13 0_0101010010010100011000101010101001010101101001111010001011010110
@14 0_0000011101010011101010000010101001100001010110100000001000000100
@15 0_0000100111001101100001101110000010000111001110100000000100010000
@16 0_0011000100100000010010001111011101000011110110111010011111101100
@17 0_1000010011011111101101111101010010111100011110010001011110001000
@18 0_1000001011010100011001110110101101110011101110010000101011110100
@19 0_0001010010101000100010011110111000010110110010000001110100011100
@1a 0_0001101110011110111000111101011011111010011110011110011100101111
@1b 0_1000010110001111000011010101011111111001111110010001111011000011
@1c 0_1011101011010100111110100001011001001011101001110011011000011110
@1d 0_0001010111000000110011110010000010001111101000111001110010111100
@1e 0_0011110110101011100000101111111110111000101000000111100100010000
@1f 0_0100110110110111010111100000000111110010000100100101000111101010
@20 0_0101110000100000111001000111111010101110010100100001111111100000
@21 0_0101011010110100011011011110101110001111111100100101110001110101
@22 0_1010110101111010110010010110010010011111100000001100100011010010
@23 0_1000110010010110100100000111001111010010000101101101011101011000
@24 0_0100111011000010110100100100001011100110011000010110011111101001
@25 0_0100000000000101000101110111010100111010010111011011011100101101
@26 0_0100111110111001011001000010111000001001111110010000010101110100
@27 0_0000000011111100111111110011111101010101000010011011101111010110
@28 0_1010111010100001000000100011000110001100110110100010001000000010
@29 0_0100111101111111100011010010110000011101000010010001110011111000
@2a 0_0011000110011010010110101001110000100011001010110000000001110011
@2b 0_0100100100011011000101000001001000011100011111001001000000000001
@2c 0_0010110001001000101111111111001100001100001011100101111011110100
@2d 0_0000101100011101110101111111110011000001100101000111110110001001
@2e 0_0010100010110111000100001011110000010101000001001101010100110100
@2f 0_0100000010011001000110111000100101111101011011011001000100001100
@30 0_0000000110000001011001010111111001111001101010101010001001110100
@31 0_0011110110110111101101111110001010111010001000111100111010100000
@32 0_0000110100111100111001001101101011100100110101100111011110000010
@33 0_0011000100001110000101110010010000111010000011111000111011010000
@34 0_0000001111000000111001000111101101100101110011010111111111111010
@35 0_0101010110011001011000001000111001000111111011001001001101111000
@36 0_0000001101011101100100011000101000000101111000111111110100111100
@37 0_0000010101010111001000100110000101011000101001010000111000000000
@38 0_0110000011110010000010001001101001010000100100111100001100111011
@39 0_0001001100001000010110100111100001100000010111101111010111100100
@3a 0_0101110011001100111011010011001001100101100011110010100101111110
@3b 0_0001110110110011010100100110101001011101010011111110001100111100
@3c 0_0001000110101010100011000101101010100011111111101011111100101000
@3d 0_1011111110101100101010011100001000100001100001100100010000001000
@3e 0_0000111000101111001111001010001000100101000011010010110101011010
@3f 0_0000101001000100101101000100011011011001101110111110000010111000
@40 0_0110011111111001111100000001000010010010101101110101100010010101
@41 0_0001110111110010101101000101010011010100100010010011001101010000
@42 0_0001110100010011011101000111010111001001111001001100101101110110
@43 0_1000001110001110001101101101110010010010101001010101100101110000
@44 0_0011010000000100101110001000000110001011010110100010011101011011
@45 0_0010011111000100101100000100110101000101010000001011000101110010
@46 0_0000010000100001101101010010010110101011101000100110101101101001
@47 0_0000110011011001111110111000101100011010000000011000000110010001
@48 0_0011010010010110011000010011000010000111111110101000001010111100
@49 0_0000010111000111010001110111111111011000011101010111110111110000
@4a 0_1100000000010011010100110100001011100011100010000101100011101111
@4b 0_0010101001000101011101000111011110100011010111011010101110001011
@4c 0_0001101001100111010011010110001010100100001010000000110101110000
@4d 0_1011100000101010000010001001000011001011011111101000010111111000
@4e 0_1010101010101100000010110101010000101111001111100101110111000110
@4f 0_0110010110001110111110110001000001100000001110110100101111010111
@50 0_1011010000110001001111100001001111000100111001001001101101101000
@51 0_0010111111100110111010101000110001100000000110110011011000110010
@52 0_0001110110010100001010000100100000101001111010001010111011100000
@53 0_0010101010101111011001111111101100000001111011010011110010001000
@54 0_0001100101110011101101100110110001000000010111110011111001110110
@55 0_1010100110011101110010011000010110101011010100111011010100111111
@56 0_1000001000000000000100100111110110000101101110101101000100011101
@57 0_0100001010100100010011001000110111001101010000111010110110101000
@58 0_0101101111010011000010010100111010011001010110100110111111100111
@59 0_0001011111010001000100111101010001001001101101110100101100110011
@5a 0_0000011101101101100100001100100100000111010011101110001011110010
@5b 0_0010111101110000011001110001111100100000111001000100000111001100
@5c 0_0010110000100000010001000101010110000100110011011111101101001110
@5d 0_0000110000000100010111011000100000100100111101101111100101101011
@5e 0_0110111100010011000101010100100010101010100011100101101101001111
@5f 0_0101111011100001010011000100000111111010011011100101001011001000
@60 0_0110110011000110101010111100100110111011011100000011010011100100
@61 0_1000000101001111010011101010000110011101001110011100110000000000
@62 0_0000101000101001110111011111111001001001110010111000101000100000
@63 0_0000000010101101001111111001001111101011000011010001101000000000
@64 0_0000001001101010010000001001010110000011111001001111110100010110
@65 0_0001111111001010111110000010000101110101011110011010100011011100
@66 0_0010010111101010111111011011001010011110110000000110110011111110
@67 0_0001010000100111010110111001110010101010110010001110001111011110
@68 0_1101101010010100111010010110010001011000100110011100001011011000
@69 0_0011011001001101110010101000110011100101111000001011110011010100
@6a 0_0010110110001110110010001011010011001011010001110101010010101010
@6b 0_0000001010000101010010101011100110001010101010110001001001011100
@6c 0_1010110001000111100010000011011000111011011000010001100111010000
@6d 0_0001101101000111001011001000100000001110011010110101110001001000
@6e 0_0000100110001100110010001011001000001011100111101000111101000011
@6f 0_0001110111110111111110110100010101011001100011111101101110111100
@70 0_1000010001100011100011111100100001111110010011110110101000001111
@71 0_0110111101101101100100001100110011001001101100111101000100110001
@72 0_0110100111010000100100110000000110010101011110111111001010000110
@73 0_0010101100001000010111011011101011010101111000010010011001010110
@74 0_0001111111100001110000100100111101001010100101010110010001100011
@75 0_0111111011000110000011000001111011001010111000100111101101001001
@76 0_0001010111110010100011101011001110011111100110110011011010100001
@77 0_0110010001001011100010011101010101010100010011110001110000101011
@78 0_0111001001001010000010101100100110101100010101100100110000111000
@79 0_0000001011001100001100101110001011000111001100110111011110111000
@7a 0_0110111110101000111101000110001010101001001010101000110100010000
@7b 0_0001100001010101100011001100010101001110110001100101010111111000
@7c 0_0101011001100110011110111101100110010110101100110000011010100000
@7d 0_0100111001001011010001101010010110100100101100101010001100000101
@7e 0_0000000111010111110001100010110111100010101100111010110010011111
@7f 0_1010011110010010010100011011101000001011010010111101001111010000
@80 0_0111001011010011000000001101000101100111110110010110010111001101
@81 0_0000000101110010010100111010101110011101111111000101010111010000
@82 0_1000000001110000101011000101101011100101010110111011101000010110
@83 0_0110011010000111000100110111100000011100011101000000010001000000
@84 0_0000011000110100111011101010000110111001101011101010000100111100
@85 0_0010011000011001110110111001101101001110011011111010000101100011
@86 0_1011111111000011000111101100101101110110001010101110011100111101
@87 0_0001111000100111000111101000101101000111110101110001011001100110
@88 0_0001101111101000110101000100000011010100010101001001000001011010
@89 0_0000111100010111111100111000111101110110111010101111110011010000
@8a 0_0011111000111101110000001000101111111000100011111100011010000010
@8b 0_0100100001011011000001011001000001001111110011011011111010001010
@8c 0_0100110111110011011110111001111000010001011101110011101001100001
@8d 0_0010101111011011101011100111110001111101000011111100011001001101
@8e 0_1000011100000011011011111000111000100000011100011001111011101111
@8f 0_1011110000011001101111000111000111100001011100101111000001001101
@90 0_0111110111011111000110000100100000001100011011001001110101101000
@91 0_0000110100000100110010011010000101010001010100101001000001101000
@92 0_0011100000100101011101110011000011011100111111010001101110001001
@93 0_0111000010010011011110100111100010111101100100001000111000001110
@94 0_0000011100111110110111010100001111110000010010011111111011001110
@95 0_0000011110001110000111001010000011110110000011111111111000100011
@96 0_0011110011100100100000110100101011101111101010000101000101110101
@97 0_1000101101011001000111100000110111101110100010011111001101001100
@98 0_0111100010001000110111111011010110010010001110111001000000001000
@99 0_1010000100100110001001110110011011010110011100100101001011101011
@9a 0_0110001110000001110111010001000101111010100100011001101011000000
@9b 0_0000010101111011011100110010111011000101100011110000000001010101
@9c 0_0000110001000011001100000101000101111111011000101111110010111001
@9d 0_0011100001001100110110101011010111001111010110011101001110000100
@9e 0_0101000100011100011101000111100011101001001011110101000000010000
@9f 0_0000010111111110111010100100001111010110000110011100001000010111
@a0 0_1111110110110001100001000001111010101110110110110100001000100011
@a1 0_0000101100010100001100011011011001000011110011001011001110101101
@a2 0_0010111100011101001101001110000000011110000111100101011100010000
@a3 0_0010011111100110000000001000001011010001011101001110001010101111
@a4 0_0000010001111110011110000101011101010101100111101111100001010100
@a5 0_0010111101000111001101001100110111001110011110001101010101001111
@a6 0_0101100111110110110110101010001110110011010111010111101001011110
@a7 0_0001000111000101100101111010101001100011110101111111000100100000
@a8 0_0011110000011111001001010101000011101011111110010000100001111100
@a9 0_0100100000100000101101011100011001101000000110011010000011111000
@aa 0_0101001111001101101000100100110010000110010000111000101100011100
@ab 0_0111010011001101011110101111101111101011110110010101011010000000
@ac 0_0100111001100010111011100110010001111011100010011101111111101110
@ad 0_0000001101011110000110010010000001010100100111101111001111100100
@ae 0_1100000101101111101010000001110111000111010010100101111101001100
@af 0_0011111100111111000000011000111101011111110101001010000110000000
@b0 0_0100110111100011101110000100101000111100101111000001101010110010
@b1 0_0111111100010101101100111100100100100001110010011101010110110100
@b2 0_0011100000011101110110110100010110100100001101111101101101111110
@b3 0_0010111001101010101001000000101011011010011111011101000001000000
@b4 0_0000001110010011000010100101110010111101001011101010010100100010
@b5 0_0100110010000110000110001001001000100000010001111000101101011001
@b6 0_1001011110011000111010000100011100100111000101110111100101010101
@b7 0_0111011011111111001010111010010001110010111110000011101011100000
@b8 0_0000111111111011110111111010000000110011000110000100111011110010
@b9 0_0101110000101000100011111101011010011000000001111011100001101000
@ba 0_0001000110111110100001000100100101001000010111111110011110010110
@bb 0_0001101011111111010101001100010100111110100000101110000111011101
@bc 0_0001001010010100110111010110010101100011111010100110110000010000
@bd 0_0000110000000010111011010011011011111111100100001101010010011010
@be 0_0010011101001011101011110010100001001110010001101110000101100100
@bf 0_0010110101111001100011000001110010000000011100111110001110111100
@c0 0_1000011110001001011111011000011000111010010000110000010111111000
@c1 0_0111101011010010101110000111011000001001100111001100111111111100
@c2 0_0000100100110110011110010100101100110000000011100111010011100100
@c3 0_0010000110010111100001010111000000100001001011011001100010001000
@c4 0_0010001101110101011110001000011100000111101010110010011000000001
@c5 0_1000011110010001111101001100010011110010000011010101110110110100
@c6 0_0111000011100010011110010100110011011010101110011001101101011100
@c7 0_0000001110011001010110110101110101100101001110001101111011100010
@c8 0_0011010101111111101111010110110001101000110010101101101011010110
@c9 0_0011010000110101111001100101000000100001111100100001001010111010
@ca 0_1000001111000000011111011011011000001110100110111101011011101000
@cb 0_0101000101110110011010001111011110111010101010111011111000000111
@cc 0_1110111011101001110110101110100011010011010010001100011111101000
@cd 0_0000010110000011111001010101101001110001011101111101101010101110
@ce 0_0010000111111010001110001100010010010100110001110001101100011110
@cf 1_0000101010111010110100111010100000111011110011101011001000010110
